text,label_score,label,target_predict,target_predict_label
"Deep learning approaches [16,17,18] do not rely on rules and can accurately generalize the problem.",,,0,not_related
"Later, more efficient single-stage object detectors like RetinaNet [58] and YOLO [59] and two-stage object detectors like Fast R-CNN [11], Faster R-CNN [12], Mask R-CNN [60], and Cascade Mask R-CNN [61] were applied for other document objects such as figures and formulas detection in document images [62,63,64,65,66,67,68,16,17,18].",,,0,not_related
"Another group of approaches [3, 30, 31] treated TSR as an object detection problem and used some object detection methods to directly detect the bounding boxes of rows and columns.",,,0,not_related
[8] recently reported an F-score of 0.,,,1,related
"…candidates on document images (Shafait and Smith, 2010; Schreiber et al., 2017; Siddiqui et al., 2018; Paliwal et al., 2019; Prasad et al., 2020; Hashmi et al., 2021b; Zheng et al., 2021); TD searches for text lines signaling table candidates in plain-text (Hu et al., 1999; Ng et al., 1999;…",,,0,not_related
"According to Hashmi et al. (2021a), on “ICDAR2013 Table Competition” dataset (Göbel et al., 2013), F1-score is close to 1.0 for TD when the threshold of
“Intersection Over Union” (IOU) equals 0.5, and this score reaches 0.95 (IOU = 0.5) for TSR.",,,1,related
"…deals with tables which are subareas of document images (Zuyev, 1997; Schreiber et al., 2017; Siddiqui et al., 2019a, 2019b; Zheng et al., 2021; Hashmi et al., 2021c), lines of plain-text (Kieninger, 1998; Ng et al., 1999; Hu et al., 2000), or text chunks and rulings clipped from PDFs (Hassan…",,,0,not_related
"…(e.g., Hu et al. (2002); Wang et al. (2004); Shahab et al. (2010); e Silva (2011); Fang et al. (2012b); Göbel et al. (2012)) and datasets (e.g., SciTSR12, TableBank13, PubTabNet14) for the assay and comparison of proposals for the TD/TSR steps; Hashmi et al. (2021a) summarize them comprehensively.",,,0,not_related
"The recent surveys summarize and compare the existing solutions intended for table detection and recognition in document images (Hashmi et al., 2021a), web table extraction (Rold an et al., 2020), analysis of heterogenous tables (Bonfitto et al., 2021), spreadsheet data transformation (Bonfitto et…",,,0,not_related
"The task statements of TD/TSR are essentially different for DTE (Zanibbi et al., 2004; Hashmi et al., 2021a), WTE (Rold an et al., 2020; Zhang and Balog, 2020), and STE (Bonfitto et al., 2021).",,,1,related
Hashmi et al. (2021a) provide a systematic review of the deep learning-based methods for the tasks of table detection and recognition in document images.,,,0,not_related
"In the past decades, considerable efforts were dedicated to developing methods and software for the individual steps of TU and some combinations of these steps (Rold an et al., 2020; Zhang and Balog, 2020; Bonfitto et al., 2021; Hashmi et al., 2021a).",,,0,not_related
KA Hashmi[118] ICDAR2013 Object Detection Methods Precision 95.,,,0,not_related
"To identify rows and columns in tables, KA Hashmi [118] suggested a",,,0,not_related
"To identify rows and columns in tables, KA Hashmi [118] suggested a
guided technique for table structure identification.",,,0,not_related
KA Hashmi [118] Utilizing an optimization technique for anchors+ Mask RCNN Networks of region proposals converge more quickly and effectively thanks to optimized anchoring.,,,0,not_related
This further urges the development of robust systems and techniques for information extraction from these raw document images [1].,,,0,not_related
[1] for retrieval of finer anchors and thus improve performance.,,,0,not_related
"Another group of approaches [8, 42] treated TSR as an object detection problem and used some object detection methods to directly detect the bounding boxes of rows and columns.",,,0,not_related
"[20] adopted another object detection model, i.",,,0,not_related
"These case of close false positives can be resolved by leveraging the instance segmentation networks where an additional segmentation loss is added along with the bounding box and classification loss [12,17,19].",,,0,not_related
[51] proposed a guided table structure recognition method to detect rows and columns in tables.,,,0,not_related
