text,label_score,label,target_predict,target_predict_label
"Recently, some researchers [14] have put forward a new state representation technique which exploits the spatial-temporal nature of visual observations in an RL setting.",,,0,not_related
"In particular, we follow the linear probing protocol introduced in [22] and run simple linear regression on game-state variables following the protocol of [21].",,,1,related
"We conduct linear probing tasks [22] on the derived content and style embeddings (using the 3D-SSL and Gen11 datasets, respectively) to recover relevant game state information (i.",,,1,related
"In case when K > 1, because if E[Zt+K , [Zt, Ut, ..., Ut+K−1]] = E[St+K , [St, At, ..., At+K−1]], then for any 1 ≤ k ≤ K, E[Zt+k, [Zt, Ut, ..., Ut+k−1]] = E[St+k, [St, At, ..., At+k−1]], including K = 1, by Data processing Inequality.",,,1,related
"Then, our method aims to maximize the mutual information between representations of current states paired with action sequences and representations of the corresponding future states: JTACO = I(Zt+K ; [Zt, Ut, ..., Ut+K−1]) (2) Here, K ≥ 1 is a fixed hyperparameter for the prediction horizon.",,,1,related
", Ut+K−1]) (2) Here, K ≥ 1 is a fixed hyperparameter for the prediction horizon.",,,1,related
"CPC (47), ST-DIM (2), and ATC (44) integrate temporal relationships into the contrastive loss by maximizing mutual information between current state representations (or state histories encoded by LSTM in CPC) and future state representations.",,,0,not_related
"Let K ∈ N+, and JTACO = I(Zt+K ; [Zt, Ut, ..., Ut+K−1]).",,,1,related
"In CURL (33), it treats augmented states as positive pairs, but it neglects the temporal dependency of MDP. CPC (47), ST-DIM (2), and ATC (44) integrate temporal relationships into the contrastive loss by maximizing mutual information between current state representations (or state histories encoded by LSTM in CPC) and future state representations.",,,0,not_related
"This theorem guarantees that if our mutual information objective Equation (2) is maximized, then for any two state-action pairs (s1, a1) and (s2, a2) with equivalent state and action representations, their optimal action-value functions,Q∗(s1, a1) andQ∗(s2, a2), will be equal.",,,1,related
"This is because p(Rt|St = s1, At = a1) = p(Rt|St = s2, At = a2) by Equation (18) as p(zt|St = s1) = p(zt|St = s2), p(ut|At = a1) = p(ut|At = a2).",,,1,related
"This theorem guarantees that if our mutual information objective Equation (2) is maximized, then for any two state-action pairs (s1, a1) and (s2, a2) with equivalent state and action representations, their optimal action-value functions,Q(s1, a1) andQ(s2, a2), will be equal.",,,1,related
"Subsequent works, including CPC (23), ST-DIM (2), and ATC (44), made progress to rectify this by integrating temporal elements into the contrastive loss, linking pairs of observations with short temporal intervals.",,,0,not_related
"= x)dz
Proof of Theorem 3.1: Based on the graphical model, it is clear that
max φ,ψ I(Zt+K , [Zt, Ut, ..., Ut+K−1]) = I(St+K ; [St, At, ..., At+K−1]) (16)
Now define the random variable of return-to-go Rt such that
Rt = H−t∑ k=0 γkRt+k (17)
Based on Proposition E.1, because
I(Zt+K ;Zt, Ut:t+K−1) = I(St+K ;St, At:t+K−1)
we could conclude that
I(Rt+K ;Zt, Ut:t+K−1) = I(Rt+K ;St, At:t+K−1) (18)
Now applying Proposition E.2, we get
Ep(zt,ut:t+K−1|St=s,At:t+K−1=at:t+K−1)[p(Rt|Zt, Ut:t+K−1)] = p(Rt|St = s,At:t+K−1) (19)
As a result, when K = 1, for any reward function r, given a state-action pair (s1, a1), (s2, a2) such that φ(s1) = φ(s2), ψ(a1) = ψ(a2), we have Qr(s1, a1) = Ep(Rt|St=s1,At=a1)[Rt] = Ep(Rt|St=s2,At=a2)[Rt].",,,1,related
Schwarzer et al. (2020) and Anand et al. (2019) did the same in the Atari game-playing environments.,,,0,not_related
"game that is considered, according to the annotations provided in (Anand et al., 2019).",,,1,related
"Moreover, we postprocess this additional information by only selecting the subset of variables that are relevant to the
game that is considered, according to the annotations provided in (Anand et al., 2019).",,,1,related
"The distance reward 𝑅dist requires the agent location at each step, we propose to either use a specifically trained object detector, which was tested with a pre-trained FasterRCNN model [25] fine-tuned on 100 manually labelled training examples, or to use the RAM state labels provided via the AtariARI Wrapper [1].",,,1,related
"The distance reward Rdist requires the agent location at each step, we propose to either use a specifically trained object detector, which was tested with a pre-trained FasterRCNN model [25] fine-tuned on 100 manually labelled training examples, or to use the RAM state labels provided via the AtariARI Wrapper [1].",,,1,related
The required state information can be extracted directly from the ALE via an environment wrapper called Atari Annotated RAM Interface (AtariARI) [1].,,,1,related
"To tackle these problems, Anand et al. (2019) have proposed AtariARI, a wrapper around some Atari gymnasium environments, that augments the information dictionary returned at each step with the RAM position of some information.",,,0,not_related
"Nevertheless, only a few methods regarding OCR, like Anand et al. (2019) (who also introduced AtariARI), Li et al. (2017) and Lin et al. (2020b), have been tested on Atari games so far.",,,0,not_related
"Nevertheless, only a few methods regarding OCR, like Anand et al. (2019) (who also introduced AtariARI), Li et al.",,,0,not_related
"Contrary to Anand et al. (2019), which consulted commented disassemblies or source code of different Atari games for their AtariARI framework, we used other analytical techniques to understand and find where the information is stored in the RAM.",,,1,related
"Nevertheless, only a few methods regarding OCR, like Anand et al. (2019) (who also introduced AtariARI), Li et al. (2017) and Lin et al.",,,0,not_related
"To prevent representational collapse, recent studies have employed the contrastive learning (Anand et al., 2019; Laskin et al., 2020; Oord et al., 2018; Stooke et al., 2021) or architectural designs including the use of batch-normalization and stop-gradient operation (Schwarzer et al., 2020; 2021).",,,0,not_related
"To prevent representational collapse, recent studies have employed the contrastive learning (Anand et al., 2019; Laskin et al., 2020; Oord et al., 2018; Stooke et al., 2021) or architectural designs including the use of batch-normalization and stop-gradient operation (Schwarzer et al.",,,0,not_related
"To prevent representational collapse, contrastive learning (Anand et al., 2019; Laskin et al., 2020; Stooke et al., 2021; Oord et al., 2018) or batch-normalization with stop-gradient operation (Schwarzer et al.",,,0,not_related
"To prevent representational collapse, contrastive learning (Anand et al., 2019; Laskin et al., 2020; Stooke et al., 2021; Oord et al., 2018) or batch-normalization with stop-gradient operation (Schwarzer et al., 2020; 2021) are commonly employed in unsupervised representation learning.",,,0,not_related
and contrastive representation learning [38; 1; 34; 24; 36; 27].,,,0,not_related
"While feature learning of this type has found some success in the RL setting, it has been mainly limited to vision-based environments [Jaderberg et al., 2017, Oord et al., 2018, Anand et al., 2019, Laskin et al., 2020, Stooke et al., 2021, Yarats et al., 2022].",,,0,not_related
"In [1], the representations for RL algorithms are learned by maximizing mutual",,,0,not_related
"While the existing methods [1, 10, 38, 40, 43, 44, 46] feeds the stacked frames to the encoder at once, which can be viewed as an early fusion [32], our method generates the set of the latent representations individually with the encoder.",,,1,related
"To address this challenge, a number of deep RL approaches [1,10,38,40,43,44,46] leverage the recent advance of self-supervised learning which effectively extracts highlevel features from raw pixels in an unsupervised fashion.",,,0,not_related
Previous SSL methods in [2] have used a single output head with 256 hidden units.,,,0,not_related
"results of using a single output head with 256 hidden units, which are taken from [2].",,,0,not_related
The performance of DIM-UA and other SRL methods is evaluated on the 19 games of the AtariARI benchmark.,,,0,not_related
"State representation learning (SRL) [2, 16, 22] focuses on learning representations from input data that are typically collected in a reinforcement learning (RL) environment.",,,0,not_related
"There are five categories of state variables in AtariARI [2], which are agent localization (Agent Loc.",,,0,not_related
The data for pretraining and probing are collected by an RL agent running a certain number of steps using a random policy since it was found that the samples collected by a random policy could be more favorable than those collected by policy gradient policies for the SSL methods [2].,,,1,related
"We experiment with our UA paradigm using the SRL algorithm ST-DIM [2], and propose DIM-UA.",,,1,related
(2) We compare DIM-UA with other SRL algorithms using samples collected from 19 Atari games of the AtariARI benchmark and illustrate that our algorithm achieves the best performance in terms of F1 scores and accuracy.,,,1,related
Our contribution is summarized as follows: (1) We modify the state-of-the-art SRL algorithm ST-DIM [2] with our UA paradigm and introduce a new algorithm called DIM-UA.,,,1,related
We present our UA paradigm for representation learning using an unbalanced atlas and design a new SRL method based on the UA paradigm.,,,1,related
We demonstrate that our paradigm improves the state-of-the-art SRL methods significantly by following the SSL experimental pipeline and comparing the probe F1 scores and accuracy.,,,1,related
"…policy gradient
Policy Gradient Methods in the Presence of Symmetries and State Abstractions
learning (Hjelm et al., 2018; Liu and Abbeel, 2021), or self-supervised learning (Anand et al., 2019; Sinha et al., 2021; Hansen et al., 2020; Hansen and Wang, 2021; Fan et al., 2021).",,,0,not_related
", 2018; Liu and Abbeel, 2021), or self-supervised learning (Anand et al., 2019; Sinha et al., 2021; Hansen et al., 2020; Hansen and Wang, 2021; Fan et al., 2021).",,,0,not_related
"Another body of related work on decoupling representation learning from RL primarily revolves around the use of contrastive learning (Anand et al., 2019; Wu et al., 2019; Stooke et al., 2021; Schwarzer et al., 2021b; Erraqabi et al., 2022).",,,0,not_related
"Anand et al. (2019) proposed ST-DIM, a collection of temporal contrastive losses operating on image patches from environmental observations.",,,0,not_related
"CURL [31] proposed a contrastive loss between two different data-augmentation of the same observation, while CPC [32] and ST-DIM [16] proposed different variations of temporal contrastive loss between two augmented observations separated by small time steps.",,,0,not_related
"To further improve sample efficiency, we use contrastive representation learning by maximizing the temporal mutual information between embeddings of consecutive time steps [16], [17], [18].",,,1,related
"We experimented with different self-supervised losses (MSE, ST-DIM [1] and VICReg [8]), covering both contrastive and non-contrastive approaches.",,,1,related
"Self-supervised learning also started to be used in the field of state representation learning [28], it has proven to be a suitable method for creating the feature space [1] and has also found its use in reinforcement learning [48, 17].",,,0,not_related
SND-STD method uses the Spatio-Temporal DeepInfoMax (ST-DIM) algorithm [1] (the simple diagram can be found in Figure 4) leveraging multiclass N -pair losses [46]:,,,0,not_related
The details of this algorithm are provided in [1].,,,1,related
"Our experiments revealed that if the ST-DIM algorithm works on an
incomplete dataset that takes on new samples (the authors probably did not test it in such conditions), there is an instability and an exponential increase of activity in the feature space at certain moments.",,,1,related
"SND-STD method uses the Spatio-Temporal DeepInfoMax (ST-DIM) algorithm [1] (the simple diagram can be found in Figure 4) leveraging multiclass N -pair losses [46]:
LGL = − I∑ i=1 J∑ j=1 log exp(gi,j)∑ s∗t∈Snext exp(gi,j)
(5)
LLL = − I∑ i=1 J∑ j=1 log exp(fi,j)∑ s∗t∈Snext exp(fi,j)
(6)
where f(.)",,,1,related
"Our version uses the state st and its successor st+1 (the same as ST-DIM, the simple diagram can be found in Figure 4) instead of two augmentations of the same state.",,,1,related
7) of the ST-DIM algorithm itself has an expansive effect and the addition of another expansive term led to problems with the uncontrolled expansion of the feature space.,,,0,not_related
ST-DIM [21] uses temporal and contrastive losses to operate on local features of the intermediate layer within the encoderwithout data augmentation.,,,0,not_related
ST-DIM [21] uses temporal and contrastive losses to operate on local features of the intermediate layer within theencoderwithoutdataaugmentation.,,,0,not_related
"2), (vi) predictive information [138,150,151], (vii) bisimulation [137,152] and (viii) asymmetric training by taking advantage of simulation [153].",,,0,not_related
"reconstructing the observation (to ignore irrelevant visual aspects) [162, 51, 76, 67, 109], to predicting forward dynamics (to capture what constrains movement) [162, 67] or inverse dynamics (to recover actions from observations) [126], to enforcing behavioural similarity between observations [173, 59, 11], to contrastive losses [158, 94, 8, 154], and many",,,0,not_related
"Feature Embedding (Unsupervised) φR(oR) = ~ φR(oR) ∈ Rd May learn wrong disentangled information d, Low by design If disentangled information complete, easy If disentangled information incomplete, hard May be interpretable to designer [97, 154, 145, 173, 76, 67, 94, 8, 70]",,,1,related
